"row ID","event_id","home_team","away_team","weather","highlights","season_id","home_team_id","away_team_id","home_coach_id","away_coach_id","referee_id","venue_id","event_date","status","round_number","round_name","group_name","period","current_minute","home_score","away_score","home_score_ht","away_score_ht","penalty_shootout_home","penalty_shootout_away","extra_time_score_home","extra_time_score_away","head_to_head_total_matches","head_to_head_home_wins","head_to_head_draws","head_to_head_away_wins","head_to_head_home_goals","head_to_head_away_goals","head_to_head_avg_total_goals","head_to_head_home_win_rate","head_to_head_away_win_rate","received_at"
"Row10",8297,"Côte d'Ivoire","Ecuador","{
  ""code"" : 1,
  ""description"" : ""clear"",
  ""wind_speed"" : 9.4,
  ""temperature_c"" : 25
}","[ {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Ecuador | Sebastián Beccacece & Angelo Preciado"",
  ""url"" : ""https://www.youtube.com/watch?v=Xizx-mNq0Sg"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/Xizx-mNq0Sg/hqdefault.jpg"",
  ""published_at"" : ""2026-06-14T00:31:35+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Cote d'Ivoire | Emerse Fae"",
  ""url"" : ""https://www.youtube.com/watch?v=ox5tj968UMg"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/ox5tj968UMg/hqdefault.jpg"",
  ""published_at"" : ""2026-06-14T00:30:27+00:00""
} ]",188,471,472,96,103,1756,1185,"2026-06-14T23:00:00+00:00","finished",1,"","Group E","FT",97,1,0,0,0,,,,,1,1,0,0,1,0,1,1,0,"2026-06-15T07:00:31.806Z"
"Row11",8298,"Sweden","Tunisia","{
  ""code"" : 2,
  ""description"" : ""cloudy"",
  ""wind_speed"" : 21.3,
  ""temperature_c"" : 30
}","[ {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Tunisia | Sabri Lamouch & Ali Abdi"",
  ""url"" : ""https://www.youtube.com/watch?v=SlC8leV3WQQ"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/SlC8leV3WQQ/hqdefault.jpg"",
  ""published_at"" : ""2026-06-14T01:05:16+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Sweden | Graham Potter & Victor Lindelof"",
  ""url"" : ""https://www.youtube.com/watch?v=AD-CHHxBPOo&pp=0gcJCUELAYcqIYzv"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/AD-CHHxBPOo/hqdefault.jpg"",
  ""published_at"" : ""2026-06-14T01:04:51+00:00""
} ]",188,731,474,574,131,2107,304,"2026-06-15T02:00:00+00:00","finished",1,"","Group F","FT",90,5,1,2,1,,,,,,,,,,,,,,"2026-06-15T10:00:31.960Z"
"Row12",8299,"Spain","Cabo Verde","{
  ""code"" : 3,
  ""description"" : ""rain"",
  ""wind_speed"" : 4.8,
  ""temperature_c"" : 31
}","[ {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Cabo Verde | Pedro Leitão Brito & Ryan Mendes"",
  ""url"" : ""https://www.youtube.com/watch?v=B7k1bXh8yu0"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/B7k1bXh8yu0/hqdefault.jpg"",
  ""published_at"" : ""2026-06-15T06:32:30+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Spain | Luis de la Fuente"",
  ""url"" : ""https://www.youtube.com/watch?v=ZaR4_DoHyOg"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/ZaR4_DoHyOg/hqdefault.jpg"",
  ""published_at"" : ""2026-06-14T21:50:41+00:00""
} ]",188,475,476,116,1445,1722,265,"2026-06-15T16:00:00+00:00","finished",1,"","Group H","FT",90,0,0,0,0,,,,,,,,,,,,,,"2026-06-16T00:00:33.024Z"
"Row13",8300,"Belgium","Egypt","{
  ""code"" : 1,
  ""description"" : ""clear"",
  ""wind_speed"" : 9.6,
  ""temperature_c"" : 20
}","[ {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Egypt  | Hossam Hassan"",
  ""url"" : ""https://www.youtube.com/watch?v=zWA4S94caeg"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/zWA4S94caeg/hqdefault.jpg"",
  ""published_at"" : ""2026-06-15T06:31:44+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Belgium | Rudi Garcia & Youri Tielemans"",
  ""url"" : ""https://www.youtube.com/watch?v=PcWsi5QUiPU"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/PcWsi5QUiPU/hqdefault.jpg"",
  ""published_at"" : ""2026-06-14T22:47:01+00:00""
} ]",188,477,478,129,117,2045,290,"2026-06-15T19:00:00+00:00","finished",1,"","Group G","FT",95,1,1,0,1,,,,,1,0,1,0,1,1,2,0,0,"2026-06-16T03:00:33.332Z"
"Row14",8301,"Saudi Arabia","Uruguay","{
  ""code"" : 2,
  ""description"" : ""cloudy"",
  ""wind_speed"" : 19.9,
  ""temperature_c"" : 32
}","[ {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Uruguay | Marcelo Bielsa"",
  ""url"" : ""https://www.youtube.com/watch?v=IfOhSmJ_GcM"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/IfOhSmJ_GcM/hqdefault.jpg"",
  ""published_at"" : ""2026-06-15T06:29:48+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Saudi Arabia | Georgios Donis"",
  ""url"" : ""https://www.youtube.com/watch?v=UUU74wuqmgA"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/UUU74wuqmgA/hqdefault.jpg"",
  ""published_at"" : ""2026-06-14T21:51:24+00:00""
} ]",188,479,480,188,98,2345,1186,"2026-06-15T22:00:00+00:00","finished",1,"","Group H","FT",97,1,1,1,0,,,,,2,0,1,1,1,2,1.5,0,0.5,"2026-06-16T06:00:32.467Z"
"Row15",8302,"Iran","New Zealand","{
  ""code"" : 2,
  ""description"" : ""cloudy"",
  ""wind_speed"" : 16.3,
  ""temperature_c"" : 21
}","[ {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Iran | Amir Ghalenoei & Mehdi Taremi"",
  ""url"" : ""https://www.youtube.com/watch?v=03aEnlQtNbQ"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/03aEnlQtNbQ/hqdefault.jpg"",
  ""published_at"" : ""2026-06-15T19:08:03+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — New Zealand | Darren Bazeley & Chris Wood"",
  ""url"" : ""https://www.youtube.com/watch?v=6zFY9Id7USs"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/6zFY9Id7USs/hqdefault.jpg"",
  ""published_at"" : ""2026-06-15T06:30:45+00:00""
} ]",188,481,482,63,578,2168,1180,"2026-06-16T01:00:00+00:00","finished",1,"","Group G","FT",90,2,2,1,1,,,,,,,,,,,,,,"2026-06-16T09:00:32.628Z"
"Row16",8304,"France","Senegal","{
  ""code"" : 2,
  ""description"" : ""cloudy"",
  ""wind_speed"" : 21.9,
  ""temperature_c"" : 26
}","[ {
  ""kind"" : ""full"",
  ""title"" : ""France 3 - 1 Senegal — Full Highlights"",
  ""url"" : ""https://youtu.be/63h686GP-M0"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/63h686GP-M0/hqdefault.jpg"",
  ""published_at"" : ""2026-06-16T21:14:04+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Senegal | Pape Thiaw"",
  ""url"" : ""https://www.youtube.com/watch?v=89jNruQuVUk"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/89jNruQuVUk/hqdefault.jpg"",
  ""published_at"" : ""2026-06-15T20:13:18+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — France | Didier Deschamps"",
  ""url"" : ""https://www.youtube.com/watch?v=0oUs7bm4lLo"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/0oUs7bm4lLo/hqdefault.jpg"",
  ""published_at"" : ""2026-06-15T17:35:43+00:00""
} ]",188,485,486,32,112,2535,1182,"2026-06-16T19:00:00+00:00","finished",1,"","Group I","FT",98,3,1,0,0,,,,,1,1,0,0,3,1,4,1,0,"2026-06-17T03:00:32.823Z"
"Row17",8305,"Iraq","Norway","{
  ""code"" : 1,
  ""description"" : ""clear"",
  ""wind_speed"" : 16.9,
  ""temperature_c"" : 33
}","[ {
  ""kind"" : ""full"",
  ""title"" : ""Iraq 1 - 4 Norway — Full Highlights"",
  ""url"" : ""https://www.youtube.com/watch?v=t-6zC0dnWYs"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/t-6zC0dnWYs/hqdefault.jpg"",
  ""published_at"" : ""2026-06-17T00:13:52+00:00""
}, {
  ""kind"" : ""full"",
  ""title"" : ""Iraq 1 - 4 Norway — Full Highlights"",
  ""url"" : ""https://www.youtube.com/watch?v=vmmat84fDdk"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/vmmat84fDdk/hqdefault.jpg"",
  ""published_at"" : ""2026-06-17T00:12:38+00:00""
}, {
  ""kind"" : ""full"",
  ""title"" : ""Iraq 1 - 4 Norway — Full Highlights"",
  ""url"" : ""https://www.youtube.com/watch?v=HIReh6NKvJs"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/HIReh6NKvJs/hqdefault.jpg"",
  ""published_at"" : ""2026-06-17T00:11:08+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Iraq | Graham Arnold"",
  ""url"" : ""https://www.youtube.com/watch?v=CKLr3BcAwb0"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/CKLr3BcAwb0/hqdefault.jpg"",
  ""published_at"" : ""2026-06-16T13:35:53+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Norway | Ståle Solbakken"",
  ""url"" : ""https://youtu.be/CFAHkTqizvw"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/CFAHkTqizvw/hqdefault.jpg"",
  ""published_at"" : ""2026-06-15T23:17:02+00:00""
} ]",188,933,488,582,77,2479,273,"2026-06-16T22:00:00+00:00","finished",1,"","Group I","FT",96,1,4,1,2,,,,,1,0,0,1,1,4,5,0,1,"2026-06-17T06:00:33.465Z"
"Row18",8306,"Argentina","Algeria","{
  ""code"" : 1,
  ""description"" : ""clear"",
  ""wind_speed"" : 26.3,
  ""temperature_c"" : 21
}","[ {
  ""kind"" : ""full"",
  ""title"" : ""Argentina 3 - 0 Algeria — Full Highlights"",
  ""url"" : ""https://www.youtube.com/watch?v=94AO9wbDSpM"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/94AO9wbDSpM/hqdefault.jpg"",
  ""published_at"" : ""2026-06-17T03:12:15+00:00""
}, {
  ""kind"" : ""full"",
  ""title"" : ""Argentina 3 - 0 Algeria — Full Highlights"",
  ""url"" : ""https://www.youtube.com/watch?v=_rMmV6x_hTU"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/_rMmV6x_hTU/hqdefault.jpg"",
  ""published_at"" : ""2026-06-17T03:03:15+00:00""
}, {
  ""kind"" : ""full"",
  ""title"" : ""Argentina 3 - 0 Algeria — Full Highlights"",
  ""url"" : ""https://www.youtube.com/watch?v=7OTeFyBFDqk"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/7OTeFyBFDqk/hqdefault.jpg"",
  ""published_at"" : ""2026-06-17T03:01:54+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Algeria | Vladimir Petkovic"",
  ""url"" : ""https://www.youtube.com/watch?v=CsW1BuMqbjg"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/CsW1BuMqbjg/hqdefault.jpg"",
  ""published_at"" : ""2026-06-16T06:20:35+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Argentina  | Lionel Scaloni"",
  ""url"" : ""https://www.youtube.com/watch?v=bcPh-_GUR5Q"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/bcPh-_GUR5Q/hqdefault.jpg"",
  ""published_at"" : ""2026-06-15T22:23:01+00:00""
} ]",188,489,490,124,97,1855,1187,"2026-06-17T01:00:00+00:00","finished",1,"","Group J","FT",90,3,0,1,0,,,,,2,2,0,0,5,3,4,1,0,"2026-06-17T09:00:32.990Z"
"Row19",8303,"Austria","Jordan","{
  ""code"" : 2,
  ""description"" : ""cloudy"",
  ""wind_speed"" : 11.8,
  ""temperature_c"" : 24
}","[ {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Austria | Coach Rangnick & Captain Alaba"",
  ""url"" : ""https://www.youtube.com/watch?v=YQiC_6CMUmQ"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/YQiC_6CMUmQ/hqdefault.jpg"",
  ""published_at"" : ""2026-06-16T14:11:53+00:00""
}, {
  ""kind"" : ""clip"",
  ""title"" : ""Press Conference — Jordan | Jamal Sellami & Ihsan Haddas"",
  ""url"" : ""https://www.youtube.com/watch?v=WZ0tfZguaLM"",
  ""thumbnail"" : ""https://i.ytimg.com/vi/WZ0tfZguaLM/hqdefault.jpg"",
  ""published_at"" : ""2026-06-16T07:10:29+00:00""
} ]",188,483,484,104,85,2485,1181,"2026-06-17T04:00:00+00:00","finished",1,"","Group J","FT",90,3,1,1,0,,,,,,,,,,,,,,"2026-06-17T12:00:33.017Z"
