"row ID","event_id","minute","xg_home","xg_away","cum_home","cum_away","received_at"
"Row3_4",8292,10,0,0.222,0.312,0.307,"2026-06-14T03:00:29.282Z"
"Row3_5",8292,12,0,0.285,0.312,0.592,"2026-06-14T03:00:29.282Z"
"Row3_6",8292,17,0,0.788,0.312,1.38,"2026-06-14T03:00:29.282Z"
"Row3_7",8292,21,0,0.21,0.312,1.59,"2026-06-14T03:00:29.282Z"
"Row3_8",8292,30,0.079,0,0.391,1.59,"2026-06-14T03:00:29.282Z"
"Row3_9",8292,34,0,0.021,0.391,1.611,"2026-06-14T03:00:29.282Z"
"Row3_10",8292,35,0,0.041,0.391,1.652,"2026-06-14T03:00:29.282Z"
"Row3_11",8292,42,0,0.087,0.391,1.739,"2026-06-14T03:00:29.282Z"
"Row3_12",8292,43,0.056,0,0.447,1.739,"2026-06-14T03:00:29.282Z"
"Row3_13",8292,44,0.004,0,0.451,1.739,"2026-06-14T03:00:29.282Z"
"Row3_14",8292,45,0,0.56,0.451,2.299,"2026-06-14T03:00:29.282Z"
"Row3_15",8292,48,0,0.264,0.451,2.564,"2026-06-14T03:00:29.282Z"
"Row3_16",8292,49,0,0.019,0.451,2.583,"2026-06-14T03:00:29.282Z"
"Row3_17",8292,51,0,0.04,0.451,2.623,"2026-06-14T03:00:29.282Z"
"Row3_18",8292,63,0,0.049,0.451,2.672,"2026-06-14T03:00:29.282Z"
"Row3_19",8292,67,0,0.035,0.451,2.708,"2026-06-14T03:00:29.282Z"
"Row3_20",8292,72,0,0.054,0.451,2.762,"2026-06-14T03:00:29.282Z"
"Row3_21",8292,75,0.02,0.105,0.471,2.867,"2026-06-14T03:00:29.282Z"
"Row3_22",8292,76,0,0.284,0.471,3.151,"2026-06-14T03:00:29.282Z"
"Row3_23",8292,81,0,0.024,0.471,3.175,"2026-06-14T03:00:29.282Z"
"Row3_24",8292,86,0,0.04,0.471,3.215,"2026-06-14T03:00:29.282Z"
"Row3_25",8292,90,0.293,0.03,0.765,3.245,"2026-06-14T03:00:29.282Z"
"Row4_1",8293,6,0,0.157,0,0.157,"2026-06-14T06:00:29.420Z"
"Row4_2",8293,7,0,0.031,0,0.188,"2026-06-14T06:00:29.420Z"
"Row4_3",8293,9,0.031,0.06,0.031,0.248,"2026-06-14T06:00:29.420Z"
"Row4_4",8293,11,0,0.019,0.031,0.267,"2026-06-14T06:00:29.420Z"
"Row4_5",8293,14,0.524,0,0.556,0.267,"2026-06-14T06:00:29.420Z"
"Row4_6",8293,20,0.044,0,0.6,0.267,"2026-06-14T06:00:29.420Z"
"Row4_7",8293,21,0,0.636,0.6,0.903,"2026-06-14T06:00:29.420Z"
"Row4_8",8293,27,0,0.101,0.6,1.004,"2026-06-14T06:00:29.420Z"
"Row4_9",8293,29,0,0.096,0.6,1.101,"2026-06-14T06:00:29.420Z"
"Row4_10",8293,30,0,0.081,0.6,1.181,"2026-06-14T06:00:29.420Z"
"Row4_11",8293,31,0,0.094,0.6,1.275,"2026-06-14T06:00:29.420Z"
"Row4_12",8293,32,0.096,0,0.696,1.275,"2026-06-14T06:00:29.420Z"
"Row4_13",8293,45,0.165,0,0.86,1.275,"2026-06-14T06:00:29.420Z"
"Row4_14",8293,46,0.007,0,0.868,1.275,"2026-06-14T06:00:29.420Z"
"Row4_15",8293,48,0.056,0,0.924,1.275,"2026-06-14T06:00:29.420Z"
"Row4_16",8293,52,0.069,0,0.993,1.275,"2026-06-14T06:00:29.420Z"
"Row4_17",8293,78,0.131,0,1.124,1.275,"2026-06-14T06:00:29.420Z"
"Row4_18",8293,82,0.042,0,1.166,1.275,"2026-06-14T06:00:29.420Z"
"Row4_19",8293,90,0.104,0.193,1.271,1.469,"2026-06-14T06:00:29.420Z"
"Row5_1",8294,3,0,0.021,0,0.021,"2026-06-14T09:00:29.353Z"
"Row5_2",8294,4,0,0.063,0,0.083,"2026-06-14T09:00:29.353Z"
"Row5_3",8294,5,0.042,0,0.042,0.083,"2026-06-14T09:00:29.353Z"
"Row5_4",8294,7,0,0.076,0.042,0.16,"2026-06-14T09:00:29.353Z"
"Row5_5",8294,11,0.086,0,0.129,0.16,"2026-06-14T09:00:29.353Z"
"Row5_6",8294,13,0.029,0,0.157,0.16,"2026-06-14T09:00:29.353Z"
"Row5_7",8294,17,0,0.084,0.157,0.244,"2026-06-14T09:00:29.353Z"
"Row5_8",8294,28,0,0.717,0.157,0.961,"2026-06-14T09:00:29.353Z"
"Row5_9",8294,32,0,0.043,0.157,1.004,"2026-06-14T09:00:29.353Z"
"Row5_10",8294,34,0.52,0,0.677,1.004,"2026-06-14T09:00:29.353Z"
"Row5_11",8294,36,0.011,0,0.688,1.004,"2026-06-14T09:00:29.353Z"
"Row5_12",8294,42,0.019,0,0.707,1.004,"2026-06-14T09:00:29.353Z"
"Row5_13",8294,55,0,0.038,0.707,1.042,"2026-06-14T09:00:29.353Z"
"Row5_14",8294,73,0.032,0.088,0.738,1.131,"2026-06-14T09:00:29.353Z"
"Row5_15",8294,78,0.054,0,0.792,1.131,"2026-06-14T09:00:29.353Z"
"Row5_16",8294,79,0.05,0,0.842,1.131,"2026-06-14T09:00:29.353Z"
"Row5_17",8294,85,0.056,0,0.898,1.131,"2026-06-14T09:00:29.353Z"
"Row5_18",8294,90,0.329,0,1.227,1.131,"2026-06-14T09:00:29.353Z"
"Row6_1",8291,3,0,0.017,0,0.017,"2026-06-14T12:00:29.550Z"
"Row6_2",8291,4,0,0.059,0,0.075,"2026-06-14T12:00:29.550Z"
"Row6_3",8291,7,0,0.03,0,0.106,"2026-06-14T12:00:29.550Z"
"Row6_4",8291,17,0.125,0,0.125,0.106,"2026-06-14T12:00:29.550Z"
"Row6_5",8291,19,0,0.045,0.125,0.15,"2026-06-14T12:00:29.550Z"
"Row6_6",8291,27,0.384,0.052,0.508,0.202,"2026-06-14T12:00:29.550Z"
"Row6_7",8291,30,0,0.044,0.508,0.247,"2026-06-14T12:00:29.550Z"
"Row6_8",8291,36,0,0.063,0.508,0.309,"2026-06-14T12:00:29.550Z"
"Row6_9",8291,39,0.032,0,0.54,0.309,"2026-06-14T12:00:29.550Z"
"Row6_10",8291,42,0,0.026,0.54,0.336,"2026-06-14T12:00:29.550Z"
"Row6_11",8291,45,0.051,0.096,0.592,0.432,"2026-06-14T12:00:29.550Z"
"Row6_12",8291,46,0,0.014,0.592,0.446,"2026-06-14T12:00:29.550Z"
"Row6_13",8291,48,0.049,0,0.641,0.446,"2026-06-14T12:00:29.550Z"
"Row6_14",8291,49,0.018,0,0.659,0.446,"2026-06-14T12:00:29.550Z"
"Row6_15",8291,50,0,0.116,0.659,0.562,"2026-06-14T12:00:29.550Z"
"Row6_16",8291,51,0,0.014,0.659,0.575,"2026-06-14T12:00:29.550Z"
"Row6_17",8291,54,0.118,0,0.777,0.575,"2026-06-14T12:00:29.550Z"
"Row6_18",8291,57,0,0.081,0.777,0.656,"2026-06-14T12:00:29.550Z"
"Row6_19",8291,60,0,0.055,0.777,0.712,"2026-06-14T12:00:29.550Z"
"Row6_20",8291,63,0,0.019,0.777,0.731,"2026-06-14T12:00:29.550Z"
"Row6_21",8291,65,0,0.018,0.777,0.749,"2026-06-14T12:00:29.550Z"
"Row6_22",8291,66,0,0.071,0.777,0.819,"2026-06-14T12:00:29.550Z"
"Row6_23",8291,72,0,0.102,0.777,0.921,"2026-06-14T12:00:29.550Z"
"Row6_24",8291,74,0,0.013,0.777,0.934,"2026-06-14T12:00:29.550Z"
"Row6_25",8291,75,0.036,0,0.813,0.934,"2026-06-14T12:00:29.550Z"
"Row6_26",8291,77,0,0.039,0.813,0.973,"2026-06-14T12:00:29.550Z"
"Row6_27",8291,78,0,0.171,0.813,1.144,"2026-06-14T12:00:29.550Z"
"Row6_28",8291,82,0,0.03,0.813,1.174,"2026-06-14T12:00:29.550Z"
"Row6_29",8291,86,0,0.061,0.813,1.235,"2026-06-14T12:00:29.550Z"
"Row6_30",8291,89,0,0.045,0.813,1.28,"2026-06-14T12:00:29.550Z"
"Row6_31",8291,90,0,0.049,0.813,1.329,"2026-06-14T12:00:29.550Z"
"Row7_1",8295,6,0.226,0,0.226,0,"2026-06-15T01:00:29.838Z"
"Row7_2",8295,7,0.045,0,0.27,0,"2026-06-15T01:00:29.838Z"
"Row7_3",8295,9,0.018,0,0.288,0,"2026-06-15T01:00:29.838Z"
"Row7_4",8295,10,0.045,0,0.333,0,"2026-06-15T01:00:29.838Z"
"Row7_5",8295,11,0.096,0,0.429,0,"2026-06-15T01:00:29.838Z"
"Row7_6",8295,12,0.172,0,0.601,0,"2026-06-15T01:00:29.838Z"
"Row7_7",8295,14,0.022,0,0.624,0,"2026-06-15T01:00:29.838Z"
"Row7_8",8295,19,0,0.021,0.624,0.021,"2026-06-15T01:00:29.838Z"
"Row7_9",8295,21,0,0.084,0.624,0.105,"2026-06-15T01:00:29.838Z"
"Row7_10",8295,28,0.072,0,0.696,0.105,"2026-06-15T01:00:29.838Z"
"Row7_11",8295,30,0.125,0,0.821,0.105,"2026-06-15T01:00:29.838Z"
"Row7_12",8295,32,0.18,0,1,0.105,"2026-06-15T01:00:29.838Z"
"Row7_13",8295,36,0,0.015,1,0.12,"2026-06-15T01:00:29.838Z"
"Row7_14",8295,38,0.242,0,1.242,0.12,"2026-06-15T01:00:29.838Z"
"Row7_15",8295,45,1.196,0.021,2.438,0.142,"2026-06-15T01:00:29.838Z"
"Row7_16",8295,47,0.045,0,2.483,0.142,"2026-06-15T01:00:29.838Z"
"Row7_17",8295,50,0.011,0,2.494,0.142,"2026-06-15T01:00:29.838Z"
"Row7_18",8295,53,0.108,0,2.602,0.142,"2026-06-15T01:00:29.838Z"
"Row7_19",8295,54,0.118,0,2.72,0.142,"2026-06-15T01:00:29.838Z"
"Row7_20",8295,62,0,0.168,2.72,0.309,"2026-06-15T01:00:29.838Z"
"Row7_21",8295,63,0.476,0,3.196,0.309,"2026-06-15T01:00:29.838Z"
"Row7_22",8295,67,0,0.011,3.196,0.32,"2026-06-15T01:00:29.838Z"
"Row7_23",8295,68,0.16,0,3.356,0.32,"2026-06-15T01:00:29.838Z"
