"row ID","event_id","sequence","received_at","xg","gml","min","sit","body","home","type","xgot","added","player_id","gm_x","gm_y","gm_z","pos_x","pos_y","pos_z","block_x","block_y","block_z","gtype"
"Row1_8",8289,7,"2026-06-13T03:00:28.543Z",0.2568,"low-centre",53,"assisted","right-foot",1,"save",,,9548,0,49.2,19,6.9,35.8,0,0.90000000000001,48.9,0,
"Row1_9",8289,8,"2026-06-13T03:00:28.543Z",0.0164,"low-centre",46,"assisted","right-foot",0,"save",0.01,,4516,0,50,7.6,23.6,72.6,0,1.5,52.7,0,
"Row1_10",8289,9,"2026-06-13T03:00:28.543Z",0.0678,"high-right",45,"corner","head",1,"miss",,4,4155,0,43.7,80.6,9.2,52.9,0,,,,
"Row1_11",8289,10,"2026-06-13T03:00:28.543Z",0.0573,"low-centre",45,"throw-in-set-piece","right-foot",1,"block",,3,4406,0,50.6,19,10.4,67.5,0,7.6,62.6,0,
"Row1_12",8289,11,"2026-06-13T03:00:28.543Z",0.0163,"high",44,"throw-in-set-piece","right-foot",0,"miss",,,26812,0,45.7,76.4,17.9,27,0,,,,
"Row1_13",8289,12,"2026-06-13T03:00:28.543Z",0.0439,"close-left",38,"corner","right-foot",1,"miss",,,2186,0,58.7,29.2,4.3,62,0,3.4,59.9,0,
"Row1_14",8289,13,"2026-06-13T03:00:28.543Z",0.051,"high",32,"assisted","left-foot",1,"miss",,,1779,0,52.9,69.4,12.9,68.5,0,,,,
"Row1_15",8289,14,"2026-06-13T03:00:28.543Z",0.0249,"low-left",30,"set-piece","right-foot",1,"block",,,2848,0,54.4,19,18.7,52.2,0,17.1,51.6,0,
"Row1_16",8289,15,"2026-06-13T03:00:28.543Z",0.0606,"low-centre",28,"set-piece","left-foot",1,"block",,,2186,0,50.9,19,13.7,61.8,0,10.3,58.7,0,
"Row1_17",8289,16,"2026-06-13T03:00:28.543Z",0.64,"low-centre",21,"corner","head",0,"goal",0.9868,,10686,0,50.7,13.3,1.8,51.2,0,,,,"regular"
"Row1_18",8289,17,"2026-06-13T03:00:28.543Z",0.268,"low-centre",17,"regular","left-foot",1,"save",0.0975,,2186,0,50.1,1.3,13.4,51.4,0,1.4,49.8,0,
"Row1_19",8289,18,"2026-06-13T03:00:28.543Z",0.0435,"low-centre",13,"set-piece","head",0,"save",0.0079,,10686,0,50.1,11.4,11.9,47.4,0,1.6,49.6,0,
"Row1_20",8289,19,"2026-06-13T03:00:28.543Z",0.0183,"left",5,"set-piece","head",0,"miss",,,10686,0,59.5,9.7,11.1,40.6,0,,,,
"Row1_21",8289,20,"2026-06-13T03:00:28.543Z",0.0536,"high",3,"set-piece","right-foot",0,"miss",,,3222,0,50.9,69.4,12.9,54.2,0,,,,
"Row2_1",8290,0,"2026-06-13T09:00:28.665Z",0.077,"low-left",90,"assisted","right-foot",1,"goal",0.6212,8,2878,0,54,16.5,13.9,62.9,0,,,,"regular"
"Row2_2",8290,1,"2026-06-13T09:00:28.665Z",0.0154,"low-centre",90,"assisted","right-foot",1,"block",,7,1923,0,48.6,9.7,32.7,43.8,0,24.3,45.7,0,
"Row2_3",8290,2,"2026-06-13T09:00:28.665Z",0.0162,"right",90,"regular","right-foot",1,"miss",,,9104,0,39.2,26.4,37.2,59.8,0,2.1,59.9,0,
"Row2_4",8290,3,"2026-06-13T09:00:28.665Z",0.0912,"high",89,"assisted","left-foot",1,"miss",,,3513,0,53.8,93.1,10.8,44.5,0,,,,
"Row2_5",8290,4,"2026-06-13T09:00:28.665Z",0.0322,"high-left",77,"assisted","right-foot",1,"miss",,,1923,0,65.9,56.9,13.4,72.3,0,,,,
"Row2_6",8290,5,"2026-06-13T09:00:28.665Z",0.1556,"low-right",75,"assisted","right-foot",1,"save",0.1365,,2143,0,47.4,3.8,13.9,51.7,0,1.8,52.2,0,
"Row2_7",8290,6,"2026-06-13T09:00:28.665Z",0.2172,"low-right",73,"set-piece","left-foot",0,"goal",0.4168,,42,0,47.8,1.9,11.9,41.9,0,,,,"regular"
"Row2_8",8290,7,"2026-06-13T09:00:28.665Z",0.0264,"low-centre",71,"throw-in-set-piece","left-foot",0,"block",,,9678,0,49.9,19,19.7,49.8,0,18.2,49.8,0,
"Row2_9",8290,8,"2026-06-13T09:00:28.665Z",0.0339,"high-right",65,"assisted","right-foot",0,"miss",,,488,0,43.4,84.7,24,54.7,0,,,,
