match_id,result_id,group_id,match_status,date,home_team,home_team_id,away_team,away_team_id,stage
400021443,151600,289275,0,2026-06-11T19:00:00Z,Mexico,43911,South Africa,43883,First Stage
400021441,151608,289275,0,2026-06-12T02:00:00Z,Korea Republic,43822,Czechia,43995,First Stage
400021449,151614,289276,0,2026-06-12T19:00:00Z,Canada,43899,Bosnia and Herzegovina,44037,First Stage
400021458,151625,289278,0,2026-06-13T01:00:00Z,USA,43921,Paraguay,43928,First Stage
400021447,151613,289276,1,2026-06-13T19:00:00Z,Qatar,43834,Switzerland,43971,First Stage
400021456,151620,289277,1,2026-06-13T22:00:00Z,Brazil,43924,Morocco,43872,First Stage
400021453,151619,289277,1,2026-06-14T01:00:00Z,Haiti,43908,Scotland,43967,First Stage
400021463,151626,289278,1,2026-06-14T04:00:00Z,Australia,43976,Türkiye,43972,First Stage
400021464,151631,289279,1,2026-06-14T17:00:00Z,Germany,43948,Curaçao,1895293,First Stage
400021470,151638,289280,1,2026-06-14T20:00:00Z,Netherlands,43960,Japan,43819,First Stage
400021467,151632,289279,1,2026-06-14T23:00:00Z,Côte d'Ivoire,43854,Ecuador,43927,First Stage
400021474,151637,289280,1,2026-06-15T02:00:00Z,Sweden,43970,Tunisia,43888,First Stage
400021482,151649,289282,1,2026-06-15T16:00:00Z,Spain,43969,Cabo Verde,43850,First Stage
400021478,151643,289281,1,2026-06-15T19:00:00Z,Belgium,43935,Egypt,43855,First Stage
400021486,151650,289282,1,2026-06-15T22:00:00Z,Saudi Arabia,43835,Uruguay,43930,First Stage
400021476,151644,289281,1,2026-06-16T01:00:00Z,IR Iran,43817,New Zealand,43978,First Stage
400021490,151656,289283,1,2026-06-16T19:00:00Z,France,43946,Senegal,43879,First Stage
400021488,151655,289283,1,2026-06-16T22:00:00Z,Iraq,43818,Norway,43961,First Stage
400021496,151662,289284,1,2026-06-17T01:00:00Z,Argentina,43922,Algeria,43843,First Stage
400021498,151661,289284,1,2026-06-17T04:00:00Z,Austria,43934,Jordan,43820,First Stage
400021502,151668,289285,1,2026-06-17T17:00:00Z,Portugal,43963,Congo DR,20014,First Stage
400021507,151673,289286,1,2026-06-17T20:00:00Z,England,43942,Croatia,43938,First Stage
400021510,151674,289286,1,2026-06-17T23:00:00Z,Ghana,43860,Panama,43914,First Stage
400021504,151667,289285,1,2026-06-18T02:00:00Z,Uzbekistan,44005,Colombia,43926,First Stage
400021440,151610,289275,1,2026-06-18T16:00:00Z,Czechia,43995,South Africa,43883,First Stage
400021446,151616,289276,1,2026-06-18T19:00:00Z,Switzerland,43971,Bosnia and Herzegovina,44037,First Stage
400021450,151615,289276,1,2026-06-18T22:00:00Z,Canada,43899,Qatar,43834,First Stage
400021442,151609,289275,1,2026-06-19T01:00:00Z,Mexico,43911,Korea Republic,43822,First Stage
400021462,151627,289278,1,2026-06-19T19:00:00Z,USA,43921,Australia,43976,First Stage
400021454,151621,289277,1,2026-06-19T22:00:00Z,Scotland,43967,Morocco,43872,First Stage
400021457,151622,289277,1,2026-06-20T00:30:00Z,Brazil,43924,Haiti,43908,First Stage
400021460,151628,289278,1,2026-06-20T03:00:00Z,Türkiye,43972,Paraguay,43928,First Stage
400021472,151640,289280,1,2026-06-20T17:00:00Z,Netherlands,43960,Sweden,43970,First Stage
400021469,151634,289279,1,2026-06-20T20:00:00Z,Germany,43948,Côte d'Ivoire,43854,First Stage
400021465,151633,289279,1,2026-06-21T00:00:00Z,Ecuador,43927,Curaçao,1895293,First Stage
400021475,151639,289280,1,2026-06-21T04:00:00Z,Tunisia,43888,Japan,43819,First Stage
400021483,151651,289282,1,2026-06-21T16:00:00Z,Spain,43969,Saudi Arabia,43835,First Stage
400021477,151646,289281,1,2026-06-21T19:00:00Z,Belgium,43935,IR Iran,43817,First Stage
400021487,151652,289282,1,2026-06-21T22:00:00Z,Uruguay,43930,Cabo Verde,43850,First Stage
