"row ID","n","name","pos","x","y","player_id","side","event_id","received_at"
"Row3210",43,"I. Toney","F",56.8,53.4,8120,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3211",36,"M. Rashford","F",61.6,77.9,750,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3212",55,"D. Henderson","G",10.3,47.6,422,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3213",92,"M. Guéhi","D",29.3,66.4,425,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3214",17,"E. Anderson","M",32.1,54.9,548,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3215",8,"R. James","D",24.4,21.1,400,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3216",2,"T. Chalobah","D",10.1,58.7,383,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3217",70,"E. Konsa","D",29.6,34,504,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3218",68,"D. Spence","D",44.5,84,735,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3219",64,"M. Rogers","M",45.7,42.4,511,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3220",123,"D. Rice","M",39.6,55.8,449,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3221",30,"O. Watkins","F",61,65.6,512,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3222",73,"E. Eze","M",50.2,63.3,454,"away",8389,"2026-07-19T05:00:03.850Z"
"Row3223",52,"J. Quansah","D",34.2,19.1,2149,"away",8389,"2026-07-19T05:00:03.850Z"
"Row1567",34,"A. Gordon","F",60.8,76.6,711,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1568",3,"M. Rashford","F",82.7,84.8,750,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1569",51,"J. Pickford","G",15.7,53,803,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1570",52,"J. Stones","D",35.4,31.6,854,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1571",16,"E. Konsa","D",64.6,5.8,504,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1572",69,"M. Guéhi","D",32.6,69.7,425,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1573",31,"M. Rogers","M",66.8,24.1,511,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1574",36,"H. Kane","F",48.2,54,2466,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1575",6,"D. Burn","D",81.1,25.7,701,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1576",60,"D. Spence","D",46.4,84.5,735,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1577",10,"N. O’Reilly","D",49.2,75.1,847,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1578",46,"D. Rice","M",49.9,38.1,449,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1579",49,"R. James","D",54.8,22.4,400,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1580",1,"I. Toney","F",70.7,8.8,8120,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1581",92,"E. Anderson","M",44.1,53.5,548,"home",8388,"2026-07-16T03:00:01.840Z"
"Row1582",49,"J. Bellingham","M",48.2,72.2,592,"home",8388,"2026-07-16T03:00:01.840Z"
"Row3192",39,"E. Martínez","G",11.3,52.7,1629,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3193",66,"G. Simeone","M",60.9,15.6,767,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3194",30,"N. González","M",62,83.2,768,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3195",26,"N. Otamendi","D",44.6,64.6,2054,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3196",112,"E. Fernández","M",54.8,38.8,387,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3197",35,"R. De Paul","M",56.9,24.3,9057,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3198",58,"N. Molina","D",43.7,13.5,761,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3199",23,"G. Montiel","D",60.8,9.2,23014,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3200",51,"L. Martínez","D",39.6,65.2,1800,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3201",59,"A. Mac Allister","M",52.4,56.6,328,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3202",83,"L. Paredes","M",47.3,47,16872,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3203",98,"L. Messi","F",67.5,29,9063,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3204",56,"N. Tagliafico","D",47.5,80.4,1107,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3205",84,"C. Romero","D",34.7,30.5,720,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3206",59,"J. Álvarez","F",58.7,63.7,770,"away",8388,"2026-07-16T03:00:01.840Z"
"Row3207",2,"L. Martínez","F",91.4,27.6,1687,"away",8388,"2026-07-16T03:00:01.840Z"
"Row1551",28,"B. Barcola","F",65.2,82.6,2261,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1552",12,"W. Saliba","D",37.4,64.1,3460,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1553",41,"K. Mbappé","F",73.6,62.1,594,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1554",62,"J. Koundé","D",47.7,14.3,739,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1555",50,"A. Rabiot","M",45.9,57.9,1994,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1556",24,"R. Cherki","M",53.1,42.9,856,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1557",45,"M. Koné","M",46,59.9,1064,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1558",63,"M. Olise","M",60.7,49.7,2467,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1559",29,"D. Doué","F",65.2,83.8,4324,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1560",70,"M. Lacroix","D",35.8,67.2,424,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1561",50,"O. Dembélé","F",64.7,38.1,2253,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1562",30,"T. Hernández","D",48.7,77.1,7994,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1563",50,"M. Maignan","G",14.5,49.2,1987,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1564",60,"L. Digne","D",49,88.2,513,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1565",84,"D. Upamecano","D",35.9,33.6,3463,"home",8387,"2026-07-14T21:55:33.358Z"
"Row1566",82,"A. Tchouaméni","M",45.3,46.5,591,"home",8387,"2026-07-14T21:55:33.358Z"
"Row3176",37,"M. Oyarzabal","F",47.6,44.4,3890,"away",8387,"2026-07-14T21:55:33.358Z"
"Row3177",54,"L. Yamal","M",61.6,17.6,745,"away",8387,"2026-07-14T21:55:33.358Z"
"Row3178",54,"P. Cubarsí","D",27.2,30.5,740,"away",8387,"2026-07-14T21:55:33.358Z"
"Row3179",94,"F. Ruiz","M",49.2,59.7,2249,"away",8387,"2026-07-14T21:55:33.358Z"
"Row3180",12,"F. Torres","F",67.8,52.1,749,"away",8387,"2026-07-14T21:55:33.358Z"
"Row3181",24,"M. Merino","M",57.2,50.5,451,"away",8387,"2026-07-14T21:55:33.358Z"
"Row3182",29,"Pedri","M",53,50.4,744,"away",8387,"2026-07-14T21:55:33.358Z"
"Row3183",10,"M. Llorente","D",39.2,14.1,3832,"away",8387,"2026-07-14T21:55:33.358Z"
"Row3184",11,"N. Williams","M",55.1,83,571,"away",8387,"2026-07-14T21:55:33.358Z"
"Row3185",54,"D. Olmo","M",54.7,48.2,746,"away",8387,"2026-07-14T21:55:33.358Z"
"Row3186",55,"A. Baena","M",56.7,77.6,769,"away",8387,"2026-07-14T21:55:33.358Z"
"Row3187",94,"A. Laporte","D",33.4,70.7,565,"away",8387,"2026-07-14T21:55:33.358Z"
"Row3188",71,"M. Cucurella","D",45.8,85.9,386,"away",8387,"2026-07-14T21:55:33.358Z"
"Row3189",57,"P. Porro","D",40.5,13.1,719,"away",8387,"2026-07-14T21:55:33.358Z"
"Row3190",68,"U. Simón","G",10.6,48.4,562,"away",8387,"2026-07-14T21:55:33.358Z"
"Row3191",94,"Rodri","M",41.8,48.5,4267,"away",8387,"2026-07-14T21:55:33.358Z"
"Row1534",45,"N. Tagliafico","D",43,88.9,1107,"home",8386,"2026-07-12T09:01:21.670Z"
"Row1535",27,"G. Montiel","D",54.3,17.4,23014,"home",8386,"2026-07-12T09:01:21.670Z"
"Row1536",16,"L. Martínez","F",64.5,56.1,1687,"home",8386,"2026-07-12T09:01:21.670Z"
"Row1537",36,"T. Almada","M",73.7,68.5,773,"home",8386,"2026-07-12T09:01:21.670Z"
"Row1538",7,"J. López","F",42.5,45.3,34,"home",8386,"2026-07-12T09:01:21.670Z"
"Row1539",110,"L. Martínez","D",44.6,67.1,1800,"home",8386,"2026-07-12T09:01:21.670Z"
"Row1540",17,"N. Otamendi","D",32.8,27.6,2054,"home",8386,"2026-07-12T09:01:21.670Z"
"Row1541",111,"L. Messi","F",69.2,38.4,9063,"home",8386,"2026-07-12T09:01:21.670Z"
"Row1542",57,"N. Molina","D",37.9,13.2,761,"home",8386,"2026-07-12T09:01:21.670Z"
"Row1543",68,"J. Álvarez","F",58.4,57.7,770,"home",8386,"2026-07-12T09:01:21.670Z"
"Row1544",56,"N. González","M",59.3,81.6,768,"home",8386,"2026-07-12T09:01:21.670Z"
"Row1545",61,"E. Martínez","G",11.3,47.7,1629,"home",8386,"2026-07-12T09:01:21.670Z"
"Row1546",54,"R. De Paul","M",50.4,23.2,9057,"home",8386,"2026-07-12T09:01:21.670Z"
"Row1547",89,"A. Mac Allister","M",57,50.3,328,"home",8386,"2026-07-12T09:01:21.670Z"
"Row1548",141,"L. Paredes","M",50.3,50.6,16872,"home",8386,"2026-07-12T09:01:21.670Z"
"Row1549",61,"C. Romero","D",33.8,29.9,720,"home",8386,"2026-07-12T09:01:21.670Z"
"Row1550",77,"E. Fernández","M",56.9,45.1,387,"home",8386,"2026-07-12T09:01:21.670Z"
"Row3159",32,"B. Embolo","F",60.5,42.4,2811,"away",8386,"2026-07-12T09:01:21.670Z"
"Row3160",52,"D. Sow","M",57.3,28.5,1550,"away",8386,"2026-07-12T09:01:21.670Z"
"Row3161",23,"S. Widmer","M",37.3,30.2,1208,"away",8386,"2026-07-12T09:01:21.670Z"
"Row3162",9,"E. Cömert","D",33.3,74.1,942,"away",8386,"2026-07-12T09:01:21.670Z"
"Row3163",11,"M. Muheim","M",63.2,92,1596,"away",8386,"2026-07-12T09:01:21.670Z"
"Row3164",17,"Z. Amdouni","F",42.8,52.6,22868,"away",8386,"2026-07-12T09:01:21.670Z"
"Row3165",75,"M. Akanji","D",41.1,64.1,1679,"away",8386,"2026-07-12T09:01:21.670Z"
"Row3166",75,"D. Zakaria","M",53.1,15.1,3616,"away",8386,"2026-07-12T09:01:21.670Z"
"Row3167",16,"A. Jashari","M",51.3,73.3,2005,"away",8386,"2026-07-12T09:01:21.670Z"
"Row3168",47,"D. Ndoye","M",69.5,79,551,"away",8386,"2026-07-12T09:01:21.670Z"
"Row3169",108,"G. Xhaka","M",51.1,57.9,348,"away",8386,"2026-07-12T09:01:21.670Z"
"Row3170",3,"R. Vargas","M",64.5,73.4,3803,"away",8386,"2026-07-12T09:01:21.670Z"
"Row3171",81,"R. Freuler","M",54.4,43.3,4266,"away",8386,"2026-07-12T09:01:21.670Z"
"Row3172",58,"G. Kobel","G",12.8,53.3,2155,"away",8386,"2026-07-12T09:01:21.670Z"
"Row3173",48,"F. Rieder","M",60.9,68.5,2404,"away",8386,"2026-07-12T09:01:21.670Z"
"Row3174",55,"R. Rodríguez","D",51.5,90,1582,"away",8386,"2026-07-12T09:01:21.670Z"
"Row3175",83,"N. Elvedi","D",41.5,37.5,2869,"away",8386,"2026-07-12T09:01:21.670Z"
"Row1517",35,"J. Ryerson","M",38.9,17.2,2159,"home",8385,"2026-07-12T05:01:21.622Z"
"Row1518",129,"S. Berge","M",47,47.9,829,"home",8385,"2026-07-12T05:01:21.622Z"
"Row1519",26,"E. Haaland","F",64.5,47.9,852,"home",8385,"2026-07-12T05:01:21.622Z"
