"row ID","event_id","received_at","home_duels","home_fouls","home_passes","home_tackles","home_offsides","home_big_saves","home_throw_ins","home_clearances","home_free_kicks","home_goal_kicks","home_recoveries","home_big_chances","home_tackles_won","home_total_saves","home_total_shots","home_corner_kicks","home_dispossessed","home_hit_woodwork","home_yellow_cards","home_blocked_shots","home_interceptions","home_through_balls","home_total_tackles","home_expected_goals","home_accurate_passes","home_ball_possession","home_goals_prevented","home_shots_on_target","home_goalkeeper_saves","home_shots_inside_box","home_shots_off_target","home_shots_outside_box","home_big_chances_missed","home_big_chances_scored","home_final_third_entries","home_fouled_in_final_third","home_touches_in_penalty_area","home_attack","home_ball_safe","home_dangerous_attack","home_attack_pct","home_ball_safe_pct","home_dangerous_attack_pct","home_pass_accuracy_pct","home_crosses_value","home_crosses_total","home_crosses_pct","home_dribbles_value","home_dribbles_total","home_dribbles_pct","home_long_balls_value","home_long_balls_total","home_long_balls_pct","home_aerial_duels_value","home_aerial_duels_total","home_aerial_duels_pct","home_ground_duels_value","home_ground_duels_total","home_ground_duels_pct","home_final_third_phase_value","home_final_third_phase_total","home_final_third_phase_pct","home_xg_actual","home_punches","home_high_claims","home_errors_lead_to_a_shot","home_errors_lead_to_a_goal","home_red_cards","home_penalty_saves","received_at_away","away_duels","away_fouls","away_passes","away_tackles","away_offsides","away_big_saves","away_throw_ins","away_clearances","away_free_kicks","away_goal_kicks","away_recoveries","away_big_chances","away_tackles_won","away_total_saves","away_total_shots","away_corner_kicks","away_dispossessed","away_hit_woodwork","away_yellow_cards","away_blocked_shots","away_interceptions","away_through_balls","away_total_tackles","away_expected_goals","away_accurate_passes","away_ball_possession","away_goals_prevented","away_shots_on_target","away_goalkeeper_saves","away_shots_inside_box","away_shots_off_target","away_shots_outside_box","away_big_chances_missed","away_big_chances_scored","away_final_third_entries","away_fouled_in_final_third","away_touches_in_penalty_area","away_attack","away_ball_safe","away_dangerous_attack","away_attack_pct","away_ball_safe_pct","away_dangerous_attack_pct","away_pass_accuracy_pct","away_crosses_value","away_crosses_total","away_crosses_pct","away_dribbles_value","away_dribbles_total","away_dribbles_pct","away_long_balls_value","away_long_balls_total","away_long_balls_pct","away_aerial_duels_value","away_aerial_duels_total","away_aerial_duels_pct","away_ground_duels_value","away_ground_duels_total","away_ground_duels_pct","away_final_third_phase_value","away_final_third_phase_total","away_final_third_phase_pct","away_xg_actual","away_punches","away_high_claims","away_errors_lead_to_a_shot","away_errors_lead_to_a_goal","away_red_cards","away_penalty_saves"
"Row93",8381,"2026-07-08T00:04:33.125Z",53,13,602,20,3,0,19,14,10,2,48,6,75,0,19,6,10,1,0,4,7,2,20,2.9,540,64,-0.28,7,0,11,8,8,4,2,74,6,34,121,64,100,24,21,55,89.7,8,26,31,11,16,69,19,31,61,8,15,53,42,80,53,191,233,82,2.8,0,0,1,,,0,"2026-07-08T00:04:33.125Z",47,11,346,15,0,2,25,43,13,13,36,2,53,4,5,1,5,0,3,1,10,1,15,0.97,287,36,-0.28,2,4,4,3,1,0,2,26,1,8,62,82,33,16,62,22,82.9,2,8,25,10,26,38,10,33,30,7,15,47,38,81,47,35,52,67,0.98,3,1,0,,,1
"Row92",8380,"2026-07-07T08:04:33.038Z",47,11,527,21,0,1,25,22,9,6,51,0,48,3,7,3,14,0,2,0,9,1,21,0.67,458,56,-0.36,2,3,5,5,2,0,0,65,1,12,94,53,56,39,27,34,86.9,2,11,18,10,19,53,20,37,54,10,22,45,40,84,48,97,137,71,0.67,,1,1,3,,,"2026-07-07T08:04:33.038Z",53,9,410,23,1,0,18,20,11,7,52,4,48,1,15,5,10,0,0,4,9,0,23,2.15,333,44,-0.69,7,1,10,4,5,2,2,45,0,21,70,74,28,33,35,32,81.2,5,14,36,10,21,48,19,59,32,12,22,55,44,84,52,61,96,64,2.15,,1,1,0,,
"Row91",8379,"2026-07-07T03:04:32.930Z",56,9,426,14,2,1,20,23,13,6,49,1,64,5,10,3,5,1,2,3,7,0,14,0.58,357,45,0.47,2,5,7,5,3,1,0,61,2,11,104,87,54,33,45,22,83.8,4,13,31,9,23,39,24,53,45,9,12,75,35,67,52,80,114,70,0.6,1,2,4,,,,"2026-07-07T03:04:32.930Z",44,13,531,19,1,0,17,14,9,6,47,3,79,2,15,7,9,0,1,3,5,3,19,1.77,467,55,0.87,6,2,8,6,7,2,1,48,3,28,105,91,64,30,41,29,87.9,1,16,6,5,10,50,17,36,47,3,12,25,32,67,48,121,153,79,1.78,0,2,1,,,
"Row90",8378,"2026-07-06T09:04:32.303Z",43,14,455,16,1,0,24,13,6,4,31,2,38,2,20,12,12,0,2,7,7,0,16,1.87,420,67,-0.01,5,2,12,8,8,,2,77,2,35,125,70,85,27,31,42,92.3,11,49,22,5,11,45,30,42,71,10,21,48,27,66,41,161,190,85,1.94,1,,,1,0,,"2026-07-06T09:04:32.303Z",57,7,244,18,0,2,12,48,13,13,30,3,50,3,6,2,6,1,4,0,4,1,18,1.55,195,33,-0.15,5,3,4,1,2,,3,37,1,14,62,78,32,15,53,32,79.9,1,4,25,8,18,44,22,45,49,11,22,50,39,66,59,28,58,48,1.55,5,,,1,1,
"Row89",8377,"2026-07-06T04:00:06.953Z",51,7,329,23,1,1,13,22,4,4,39,5,39,3,14,5,7,1,1,4,11,1,23,2.73,279,34,-0.46,4,3,10,6,4,4,1,47,3,32,67,63,50,15,48,37,84.8,1,16,6,10,17,59,19,41,46,4,15,27,39,70,56,101,122,83,2.73,0,,1,,,0,"2026-07-06T04:00:06.953Z",49,6,680,14,1,3,14,17,7,8,39,3,79,4,9,5,14,0,0,1,6,0,14,0.84,617,66,0.76,5,4,7,3,2,2,1,75,1,17,122,92,59,25,46,29,90.7,1,12,8,11,20,55,24,49,49,11,15,73,31,70,44,175,215,81,0.84,1,,1,,,1
"Row88",8376,"2026-07-05T05:03:54.213Z",47,13,183,29,,2,19,22,11,12,39,0,72,4,5,2,5,0,0,1,14,,29,0.15,99,24,0.82,1,4,1,3,4,0,0,42,0,5,56,68,24,23,65,12,54.1,0,4,0,3,12,25,12,55,22,6,22,27,43,83,52,13,51,25,0.15,1,1,1,,,,"2026-07-05T05:03:54.213Z",53,11,568,14,,0,17,27,12,7,50,2,57,1,15,12,15,0,3,4,10,,14,1.36,510,76,0.37,5,1,5,6,10,1,1,87,3,24,103,65,65,37,37,26,89.8,1,23,4,14,28,50,26,42,62,16,22,73,40,83,48,199,233,85,1.36,1,3,1,,,
"Row87",8375,"2026-07-05T01:03:54.140Z",47,24,357,18,2,0,24,10,14,1,43,1,56,1,11,11,6,0,4,3,5,,18,0.86,272,45,-0.87,3,1,7,5,4,1,0,57,4,32,77,61,49,17,30,53,76.2,8,29,28,4,10,40,12,31,39,16,36,44,36,74,49,87,136,64,0.86,0,0,1,,,,"2026-07-05T01:03:54.140Z",53,14,472,12,3,1,23,51,24,3,44,3,75,3,5,1,10,1,4,0,8,,12,0.77,389,55,0.66,4,3,3,1,2,1,2,37,1,10,72,77,30,16,65,19,82.4,1,5,20,5,13,38,17,49,35,20,36,56,38,74,51,34,62,55,0.78,3,2,0,,,
"Row86",8374,"2026-07-04T09:33:53.650Z",47,14,586,12,2,0,15,25,10,9,41,5,67,0,20,3,6,0,2,4,5,,12,2.18,532,61,0,8,0,12,8,8,4,1,55,1,19,81,75,56,27,47,26,90.8,5,15,33,5,12,42,31,54,57,7,12,58,27,60,45,99,122,81,2.18,0,,0,,,,"2026-07-04T09:33:53.650Z",53,10,376,13,0,4,16,11,14,12,41,0,54,7,8,2,7,0,3,5,5,,13,0.26,312,39,1.92,0,7,2,3,6,0,0,52,0,8,69,61,43,29,46,25,83,2,15,13,6,11,55,9,47,19,5,12,42,33,60,55,47,86,55,0.26,1,,1,,,
"Row85",8373,"2026-07-04T06:03:53.655Z",52,13,849,22,3,2,16,25,12,11,45,3,59,3,22,8,13,0,1,7,9,7,22,2.16,779,64,-0.58,10,3,15,5,7,2,1,82,5,51,101,74,56,32,24,44,91.8,6,15,40,10,16,63,25,39,64,14,27,52,43,83,52,238,285,84,2.18,,,1,,,,"2026-07-04T06:03:53.655Z",48,12,476,19,2,2,18,27,13,8,49,0,42,8,16,8,11,0,1,6,9,0,19,0.45,408,36,-0.6,5,8,6,5,10,0,0,57,2,16,76,74,31,23,44,33,85.7,6,21,29,10,21,48,21,50,42,13,27,48,40,83,48,73,104,70,0.45,,,0,,,
"Row84",8372,"2026-07-04T02:03:58.852Z",51,12,507,10,0,,26,29,14,9,43,0,70,3,16,4,12,1,0,9,9,,10,0.87,404,42,0.22,1,3,10,6,6,0,0,81,3,33,114,85,65,28,37,35,79.7,7,24,29,10,14,71,19,58,33,30,56,54,33,68,49,95,150,63,0.87,1,,,,,,"2026-07-04T02:03:58.852Z",49,14,723,16,3,,19,37,12,12,41,3,38,1,14,7,3,0,2,6,8,,16,1.36,614,58,-0.9,4,1,8,4,6,2,1,74,2,31,127,100,68,20,43,37,84.9,6,24,25,8,15,53,35,74,47,26,56,46,35,68,51,131,180,73,1.36,1,,,,,
