"row ID","event_id","sequence","reason","type","minute","away_score","home_score","assist","player","is_home","sequence (#1)","goal_type","player_id","added_time","player_in","player_out","player_in_id","player_out_id","length","card_type","decision","confirmed","is_manager","text","received_at","is_live"
"Row102_11",8389,10,,"goal",66,4,3,"M. Olise","K. Mbappé",1,,"regular",594,,,,,,,,,,,,"2026-07-19T05:00:04.948Z",
"Row102_12",8389,11,,"goal",54,4,2,"K. Mbappé","B. Barcola",1,,"regular",2261,,,,,,,,,,,,"2026-07-19T05:00:04.948Z",
"Row102_13",8389,12,,"goal",48,4,1,"M. Olise","K. Mbappé",1,,"regular",594,,,,,,,,,,,,"2026-07-19T05:00:04.948Z",
"Row102_14",8389,13,,"substitution",46,,,,,0,,,,,"O. Watkins","M. Rashford",512,750,,,,,,,"2026-07-19T05:00:04.948Z",
"Row102_15",8389,14,,"substitution",46,,,,,1,,,,,"B. Barcola","D. Doué",2261,4324,,,,,,,"2026-07-19T05:00:04.948Z",
"Row102_16",8389,15,,"substitution",46,,,,,1,,,,,"O. Dembélé","R. Cherki",2253,856,,,,,,,"2026-07-19T05:00:04.948Z",
"Row102_17",8389,16,,"substitution",46,,,,,1,,,,,"D. Upamecano","I. Konaté",3463,324,,,,,,,"2026-07-19T05:00:04.948Z",
"Row102_18",8389,17,,"substitution",46,,,,,1,,,,,"L. Digne","T. Hernández",513,7994,,,,,,,"2026-07-19T05:00:04.948Z",
"Row102_19",8389,18,,"period",45,4,0,,,,,,,,,,,,,,,,,"HT","2026-07-19T05:00:04.948Z",0
"Row102_20",8389,19,,"goal",45,4,0,"E. Eze","B. Saka",0,,"regular",455,1,,,,,,,,,,,"2026-07-19T05:00:04.948Z",
"Row102_21",8389,20,,"injuryTime",45,,,,,,,,,,,,,,4,,,,,,"2026-07-19T05:00:04.948Z",
"Row102_22",8389,21,,"goal",37,3,0,"M. Rashford","B. Saka",0,,"regular",455,,,,,,,,,,,,"2026-07-19T05:00:04.948Z",
"Row102_23",8389,22,,"goal",18,2,0,"D. Rice","E. Konsa",0,,"regular",504,,,,,,,,,,,,"2026-07-19T05:00:04.948Z",
"Row102_24",8389,23,,"goal",3,1,0,,"D. Rice",0,,"regular",449,,,,,,,,,,,,"2026-07-19T05:00:04.948Z",
"Row101_1",8388,0,,"period",90,2,1,,,,,,,,,,,,,,,,,"FT","2026-07-16T03:00:06.510Z",0
"Row101_2",8388,1,,"substitution",90,,,,,1,,,,6,"I. Toney","J. Stones",8120,854,,,,,,,"2026-07-16T03:00:06.510Z",
"Row101_3",8388,2,,"substitution",90,,,,,1,,,,6,"M. Rashford","D. Spence",750,735,,,,,,,"2026-07-16T03:00:06.510Z",
"Row101_4",8388,3,,"card",90,,,,"R. De Paul",0,,,9057,4,,,,,,"yellow",,,,,"2026-07-16T03:00:06.510Z",
"Row101_5",8388,4,,"goal",90,2,1,"L. Messi","L. Martínez",0,,"regular",1687,2,,,,,,,,,,,"2026-07-16T03:00:06.510Z",
